"Article","Views"
"code-security/code-scanning/troubleshooting-code-scanning/alerts-in-generated-code","9565"
"code-security/security-overview/assessing-code-security-risk","9440"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/configuring-default-setup-for-code-scanning","9386"
"code-security/codeql-for-vs-code/getting-started-with-codeql-for-vs-code/exploring-data-flow-with-path-queries","9357"
"billing/managing-billing-for-github-advanced-security/signing-up-for-github-advanced-security","9329"
"code-security/code-scanning/troubleshooting-code-scanning/fewer-lines-scanned-than-expected","9308"
"code-security/secret-scanning/enabling-secret-scanning-features/enabling-push-protection-for-your-repository","9285"
"code-security/code-scanning/managing-your-code-scanning-configuration","9252"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/testing-custom-queries","9188"
"code-security/code-scanning/troubleshooting-code-scanning/logs-not-detailed-enough","9156"
"code-security/security-advisories/working-with-repository-security-advisories/collaborating-in-a-temporary-private-fork-to-resolve-a-repository-security-vulnerability","9126"
"code-security/code-scanning/managing-your-code-scanning-configuration/swift-built-in-queries","9035"
"code-security/dependabot/dependabot-alerts/using-alert-rules-to-prioritize-dependabot-alerts","9027"
"code-security/codeql-cli/codeql-cli-manual/resolve-ml-models","9014"
"admin/configuration/hardening-security-for-your-enterprise/troubleshooting-tls-errors","8974"
"code-security/codeql-for-vs-code/getting-started-with-codeql-for-vs-code","8906"
"code-security/secret-scanning/managing-alerts-from-secret-scanning/evaluating-alerts","8821"
"code-security/getting-started/quickstart-for-securing-your-organization","8778"
"code-security/adopting-github-advanced-security-at-scale/phase-5-rollout-and-scale-code-scanning","8695"
"code-security/adopting-github-advanced-security-at-scale/phase-2-preparing-to-enable-at-scale","8611"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/exploring-the-structure-of-your-source-code","8586"
"code-security/security-advisories/working-with-repository-security-advisories/evaluating-the-security-settings-of-a-repository","8575"
"billing/managing-billing-for-github-advanced-security/managing-your-github-advanced-security-licensing","8500"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/testing-query-help-files","8377"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/telemetry-in-codeql-for-visual-studio-code","8328"
"code-security/code-scanning/managing-code-scanning-alerts","8327"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/triaging-code-scanning-alerts-in-pull-requests","8255"
"code-security/adopting-github-advanced-security-at-scale/phase-3-pilot-programs","8239"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/csv-output","8209"
"code-security/securing-your-organization/introduction-to-securing-your-organization-at-scale","8197"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/extractor-options","8196"
"code-security/code-scanning/managing-code-scanning-alerts/disabling-autofix-for-code-scanning","8133"
"code-security/secret-scanning/managing-alerts-from-secret-scanning/resolving-alerts","8093"
"billing/managing-billing-for-your-products/managing-billing-for-github-advanced-security/viewing-committer-information-for-github-advanced-security","8071"
"code-security/adopting-github-advanced-security-at-scale/phase-6-rollout-and-scale-secret-scanning","8056"
"rest/code-security","8020"
"code-security/security-advisories/guidance-on-reporting-and-writing-information-about-vulnerabilities/managing-privately-reported-security-vulnerabilities","8020"
"code-security/securing-your-organization/troubleshooting-security-configurations/not-enough-github-advanced-security-licenses","7819"
"admin/configuration/hardening-security-for-your-enterprise/enabling-subdomain-isolation","7808"
"actions/deployment/security-hardening-your-deployments","7779"
"code-security/security-advisories/repository-security-advisories/configuring-private-vulnerability-reporting-for-a-repository","7742"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/configuring-code-scanning-at-scale","7651"
"code-security/security-overview/assessing-adoption-code-security","7581"
"code-security/adopting-github-advanced-security-at-scale/phase-4-create-internal-documentation","7554"
"code-security/securing-your-organization/managing-the-security-of-your-organization/filtering-repositories-in-your-organization-using-the-repository-table","7517"
"code-security/securing-your-organization/troubleshooting-security-configurations","7437"
"code-security/security-advisories/working-with-repository-security-advisories/permission-levels-for-repository-security-advisories","7377"
"code-security/code-scanning/managing-your-code-scanning-configuration/set-code-scanning-merge-protection","7294"
"code-security/codeql-for-vs-code/getting-started-with-codeql-for-vs-code/running-codeql-queries-at-scale-with-multi-repository-variant-analysis","7120"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/about-code-scanning-alerts","7112"
"rest/enterprise-admin/code-security-and-analysis","7096"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/about-codeql-workspaces","7095"
"codespaces/codespaces-reference/security-in-github-codespaces","7069"
"code-security/codeql-cli/codeql-cli-manual/resolve-packs","7062"
"code-security/codeql-cli/using-the-codeql-cli","7052"
"code-security/code-scanning/using-codeql-code-scanning-with-your-existing-ci-system/configuring-codeql-cli-in-your-ci-system","6964"
"apps/github-marketplace/creating-apps-for-github-marketplace/security-best-practices-for-apps-on-github-marketplace","6917"
"codespaces/managing-your-codespaces/reviewing-your-security-logs-for-github-codespaces","6900"
"actions/security-for-github-actions/security-guides","6819"
"code-security/security-advisories/working-with-repository-security-advisories/deleting-a-repository-security-advisory","6763"
"admin/managing-code-security/managing-github-advanced-security-for-your-enterprise/enabling-github-advanced-security-for-your-enterprise","6758"
"code-security/code-scanning/creating-an-advanced-setup-for-code-scanning","6727"
"code-security/dependabot/dependabot-version-updates/customizing-dependabot-prs","6724"
"code-security/security-overview/exporting-data-from-security-overview","6682"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/using-the-codeql-model-editor","6601"
"code-security/securing-your-organization/managing-the-security-of-your-organization/detaching-repositories-from-their-security-configurations","6585"
"code-security/secret-scanning/managing-alerts-from-secret-scanning/monitoring-alerts","6579"
"code-security/secret-scanning/working-with-push-protection","6560"
"admin/managing-code-security","6488"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/custom-patterns/defining-custom-patterns-for-secret-scanning","6448"
"actions/security-guides","6375"
"code-security/adopting-github-advanced-security-at-scale/phase-1-align-on-your-rollout-strategy-and-goals","6303"
"code-security/code-scanning/troubleshooting-code-scanning/kotlin-detected-in-no-build","6264"
"code-security/securing-your-organization/managing-the-security-of-your-organization/interpreting-security-findings","6128"
"code-security/securing-your-organization/troubleshooting-security-configurations/a-repository-is-using-advanced-setup-for-code-scanning","6114"
"code-security/dependabot/dependabot-version-updates/optimizing-pr-creation-version-updates","6099"
"code-security/security-advisories/working-with-repository-security-advisories/adding-a-collaborator-to-a-repository-security-advisory","6041"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/configuring-access-to-the-codeql-cli","5998"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/excluding-folders-and-files-from-secret-scanning","5994"
"code-security/security-advisories/guidance-on-reporting-and-writing-information-about-vulnerabilities/best-practices-for-writing-repository-security-advisories","5990"
"code-security/securing-your-organization/enabling-security-features-in-your-organization/creating-a-custom-security-configuration","5987"
"code-security/secret-scanning/copilot-secret-scanning","5947"
"code-security/code-scanning/troubleshooting-code-scanning/c-sharp-compiler-unexpectedly-failing","5901"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/query-reference-files","5854"
"code-security/security-advisories/global-security-advisories/about-the-github-advisory-database","5840"
"admin/configuring-settings/hardening-security-for-your-enterprise/enabling-subdomain-isolation","5824"
"code-security/security-overview/enabling-security-features-for-multiple-repositories","5652"
"admin/configuring-settings/hardening-security-for-your-enterprise/troubleshooting-tls-errors","5652"
"code-security/securing-your-organization/enabling-security-features-in-your-organization","5628"
"code-security/security-advisories/guidance-on-reporting-and-writing/about-coordinated-disclosure-of-security-vulnerabilities","5504"
"code-security/code-scanning/troubleshooting-code-scanning/extraction-errors-in-the-database","5495"
"code-security/dependabot/troubleshooting-dependabot/troubleshooting-dependabot-on-github-actions","5465"
"code-security/security-advisories/working-with-repository-security-advisories/editing-a-repository-security-advisory","5462"
"code-security/dependabot/maintain-dependencies/managing-dependabot-on-self-hosted-runners","5450"
"actions/security-for-github-actions/using-artifact-attestations/using-artifact-attestations-and-reusable-workflows-to-achieve-slsa-v1-build-level-3","5381"
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-pypi","5379"
"code-security/codeql-cli/using-the-codeql-cli/about-the-codeql-cli","5371"
"code-security/codeql-cli/using-the-codeql-cli/analyzing-databases-with-the-codeql-cli","5283"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/delegated-bypass-for-push-protection/managing-requests-to-bypass-push-protection","5197"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/testing-codeql-queries-in-vs-code","5175"
"actions/security-for-github-actions","5114"
"code-security/secret-scanning/troubleshooting-secret-scanning-and-push-protection/troubleshooting-secret-scanning","5110"
"code-security/code-scanning/troubleshooting-code-scanning/enabling-default-setup-takes-too-long","5058"
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-jfrog","4948"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/setting-up-a-codeql-workspace","4914"
"code-security/code-scanning/troubleshooting-code-scanning/results-different-than-expected","4898"
"code-security/code-scanning/managing-your-code-scanning-configuration/built-in-codeql-query-suites","4893"
"code-security/secret-scanning/copilot-secret-scanning/responsible-use-ai-regex-generator","4844"
"code-security/securing-your-organization/meeting-your-specific-security-needs-with-custom-security-configurations/creating-a-custom-security-configuration","4828"
"code-security/codeql-cli/codeql-cli-reference/about-codeql-packs","4810"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/creating-a-custom-query","4805"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/about-the-tool-status-page","4786"
"code-security/supply-chain-security/understanding-your-software-supply-chain/enforcing-dependency-review-across-an-organization","4759"
"code-security/codeql-for-vs-code/troubleshooting-codeql-for-vs-code/accessing-logs","4745"
"code-security/security-advisories/repository-security-advisories/creating-a-repository-security-advisory","4736"
"code-security/code-scanning/troubleshooting-code-scanning/resource-not-accessible-by-integration","4717"
"code-security/secret-scanning/secret-scanning-partnership-program","4645"
"admin/configuration/hardening-security-for-your-enterprise/enabling-private-mode","4632"
"code-security/securing-your-organization/fixing-security-alerts-at-scale/about-security-campaigns","4618"
"billing/managing-billing-for-github-advanced-security","4600"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension/managing-codeql-packs","4539"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/delegated-bypass-for-push-protection/about-delegated-bypass-for-push-protection","4514"
"code-security/supply-chain-security/understanding-your-software-supply-chain/customizing-your-dependency-review-action-configuration","4500"
"admin/managing-accounts-and-repositories/managing-users-in-your-enterprise/best-practices-for-user-security","4425"
"code-security/security-advisories/working-with-repository-security-advisories/removing-a-collaborator-from-a-repository-security-advisory","4418"
"code-security/code-scanning/managing-code-scanning-alerts/assessing-code-scanning-alerts-for-your-repository","4388"
"code-security/securing-your-organization/enabling-security-features-in-your-organization/giving-org-access-private-registries","4386"
"code-security/secret-scanning/introduction/about-secret-scanning-for-partners","4356"
"code-security/securing-your-organization/managing-the-security-of-your-organization/editing-a-custom-security-configuration","4252"
"code-security/security-overview/viewing-security-insights-for-your-organization","4247"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/viewing-code-scanning-logs","4235"
"account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-personal-account-settings/managing-security-and-analysis-settings-for-your-personal-account","4221"
"actions/security-for-github-actions/using-artifact-attestations/verifying-attestations-offline","4210"
"code-security/securing-your-organization/fixing-security-alerts-at-scale/creating-tracking-security-campaigns","4194"
"code-security/dependabot/ecosystems-supported-by-dependabot/optimizing-java-packages-dependabot","4041"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/configuring-advanced-setup-for-code-scanning","4029"
"copilot/example-prompts-for-github-copilot-chat/security-analysis/finding-existing-vulnerabilities-in-code","3975"
"code-security/dependabot/dependabot-security-updates/customizing-dependabot-security-prs","3945"
"code-security/code-scanning/troubleshooting-code-scanning/unclear-what-triggered-a-workflow","3917"
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-pypi","3916"
"code-security/security-advisories/guidance-on-reporting-and-writing-information-about-vulnerabilities","3905"
"code-security/securing-your-organization/managing-the-security-of-your-organization/deleting-a-custom-security-configuration","3895"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/tracking-code-scanning-alerts-in-issues-using-task-lists","3870"
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/identifying-audit-log-events-performed-by-an-access-token","3784"
"code-security/secret-scanning/copilot-secret-scanning/enabling-ai-powered-generic-secret-detection","3611"
"billing/managing-billing-for-your-products/managing-billing-for-github-advanced-security/viewing-your-github-advanced-security-usage","3485"
"admin/configuration/hardening-security-for-your-enterprise/configuring-ssh-connections-to-your-instance","3431"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/built-in-codeql-query-suites","3408"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli","3404"
"admin/configuring-settings/hardening-security-for-your-enterprise/restricting-access-to-githubcom-using-a-corporate-proxy","3317"
"admin/code-security/managing-supply-chain-security-for-your-enterprise/enabling-the-dependency-graph-for-your-enterprise","3303"
"admin/configuring-settings/hardening-security-for-your-enterprise/enabling-private-mode","3298"
"code-security/securing-your-organization/meeting-your-specific-security-needs-with-custom-security-configurations/applying-a-custom-security-configuration","3229"
"actions/security-for-github-actions/using-artifact-attestations/enforcing-artifact-attestations-with-a-kubernetes-admission-controller","3201"
"code-security/codeql-for-vs-code/troubleshooting-codeql-for-vs-code/warning-problem-with-controller-repository","3173"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/recommended-hardware-resources-for-running-codeql","3161"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/delegated-bypass-for-push-protection/enabling-delegated-bypass-for-push-protection","3131"
"code-security/securing-your-organization/fixing-security-alerts-at-scale/best-practice-fix-alerts-at-scale","3124"
"code-security/secret-scanning/generating-regular-expressions-for-custom-patterns-with-ai","3122"
"billing/managing-billing-for-your-products/managing-billing-for-github-advanced-security/managing-your-github-advanced-security-licensing","3099"
"actions/security-for-github-actions/security-hardening-your-deployments","3092"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/running-codeql-code-scanning-in-a-container","3077"
"code-security/dependabot/troubleshooting-dependabot/dependabot-updates-stopped","3043"
"code-security/codeql-for-vs-code/using-the-advanced-functionality-of-the-codeql-for-vs-code-extension","3032"
"code-security/secret-scanning/working-with-secret-scanning-and-push-protection/working-with-push-protection-from-the-rest-api","3001"
"admin/code-security/managing-github-advanced-security-for-your-enterprise/configuring-secret-scanning-for-your-appliance","2989"
"admin/managing-code-security/managing-github-advanced-security-for-your-enterprise","2980"
"code-security/supply-chain-security/understanding-your-software-supply-chain/configuring-the-dependency-review-action","2975"
"code-security/security-advisories/repository-security-advisories/publishing-a-repository-security-advisory","2911"
"admin/configuring-settings/hardening-security-for-your-enterprise","2869"
"code-security/dependabot/working-with-dependabot/troubleshooting-dependabot-on-github-actions","2867"
"code-security/dependabot/troubleshooting-dependabot/troubleshooting-the-detection-of-vulnerable-dependencies","2857"
"code-security/security-overview/exporting-data-from-the-risk-and-coverage-pages","2849"
"code-security/trialing-github-advanced-security/planning-a-trial-of-ghas","2849"
"code-security/security-advisories/repository-security-advisories/collaborating-in-a-temporary-private-fork-to-resolve-a-repository-security-vulnerability","2846"
"code-security/security-advisories/guidance-on-reporting-and-writing/managing-privately-reported-security-vulnerabilities","2837"
"code-security/security-advisories/global-security-advisories/editing-security-advisories-in-the-github-advisory-database","2799"
"code-security/security-advisories/global-security-advisories/about-global-security-advisories","2763"
"admin/code-security/managing-supply-chain-security-for-your-enterprise/configuring-dependabot-to-work-with-limited-internet-access","2753"
"code-security/codeql-cli/using-the-codeql-cli/extractor-options","2717"
"code-security/code-scanning/using-codeql-code-scanning-with-your-existing-ci-system/migrating-from-the-codeql-runner-to-codeql-cli","2696"
"copilot/copilot-chat-cookbook/security-analysis/finding-existing-vulnerabilities-in-code","2678"
"admin/configuration/hardening-security-for-your-enterprise/configuring-host-keys-for-your-instance","2678"
"code-security/secret-scanning/copilot-secret-scanning/responsible-ai-regex-generator","2625"
"code-security/securing-your-organization/managing-the-security-of-your-organization/interpreting-security-findings-on-a-repository","2600"
"actions/security-for-github-actions/security-guides/about-secrets","2529"
"admin/configuration/hardening-security-for-your-enterprise","2510"
"code-security/security-advisories/repository-security-advisories/configuring-private-vulnerability-reporting-for-an-organization","2478"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/configuring-default-setup-for-code-scanning-at-scale","2454"
"admin/configuring-settings/hardening-security-for-your-enterprise/configuring-ssh-connections-to-your-instance","2426"
"apps/publishing-apps-to-github-marketplace/creating-apps-for-github-marketplace/security-best-practices-for-apps-on-github-marketplace","2409"
"code-security/trialing-github-advanced-security/explore-trial-secret-scanning","2400"
"admin/managing-code-security/managing-github-advanced-security-for-your-enterprise/configuring-secret-scanning-for-your-appliance","2393"
"admin/managing-code-security/managing-supply-chain-security-for-your-enterprise/configuring-dependabot-to-work-with-limited-internet-access","2387"
"code-security/trialing-github-advanced-security/explore-trial-code-scanning","2384"
"code-security/secret-scanning/enabling-ai-powered-generic-secret-detection","2359"
"code-security/codeql-cli/using-the-codeql-cli/creating-codeql-query-suites","2358"
"code-security/secret-scanning/troubleshooting-secret-scanning-and-push-protection","2345"
"code-security/securing-your-organization/managing-the-security-of-your-organization","2336"
"admin/code-security/managing-supply-chain-security-for-your-enterprise/viewing-the-vulnerability-data-for-your-enterprise","2304"
"code-security/codeql-for-vs-code/troubleshooting-codeql-for-vs-code","2270"
"admin/code-security/managing-github-advanced-security-for-your-enterprise","2250"
"code-security/security-advisories/global-security-advisories","2249"
"billing/managing-billing-for-your-products/managing-billing-for-github-advanced-security/signing-up-for-github-advanced-security","2224"
"admin/managing-code-security/managing-supply-chain-security-for-your-enterprise/about-supply-chain-security-for-your-enterprise","2180"
"code-security/dependabot/dependabot-auto-triage-rules/using-github-curated-default-rules-to-prioritize-dependabot-alerts","2160"
"code-security/securing-your-organization/fixing-security-alerts-at-scale","2159"
"billing/managing-billing-for-your-products/managing-billing-for-github-advanced-security","2149"
"admin/configuring-settings/hardening-security-for-your-enterprise/configuring-host-keys-for-your-instance","2128"
"admin/managing-code-security/managing-supply-chain-security-for-your-enterprise/enabling-the-dependency-graph-for-your-enterprise","2108"
"admin/code-security/managing-supply-chain-security-for-your-enterprise/about-supply-chain-security-for-your-enterprise","2092"
"code-security/secret-scanning/about-generating-regular-expressions-with-ai","2070"
"code-security/security-overview/reviewing-requests-to-bypass-push-protection","2044"
"code-security/codeql-cli/using-the-codeql-cli/using-custom-queries-with-the-codeql-cli","2013"
"code-security/security-overview/viewing-metrics-for-secret-scanning-push-protection-in-your-organization","2003"
"code-security/dependabot/dependabot-alert-rules/about-dependabot-alert-rules","1993"
"code-security/code-scanning/using-codeql-code-scanning-with-your-existing-ci-system","1979"
"code-security/dependabot/troubleshooting-dependabot/viewing-dependabot-job-logs","1969"
"code-security/security-overview/viewing-metrics-for-pull-request-alerts","1945"
"code-security/dependabot/maintain-dependencies/removing-dependabot-access-to-public-registries","1929"
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-jfrog","1923"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features","1922"
"code-security/security-overview/viewing-metrics-for-secret-scanning-push-protection","1915"
"actions/security-for-github-actions/using-artifact-attestations","1907"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/non-provider-patterns/enabling-secret-scanning-for-non-provider-patterns","1881"
"code-security/codeql-cli/codeql-cli-reference/sarif-output","1860"
"admin/managing-code-security/managing-supply-chain-security-for-your-enterprise/viewing-the-vulnerability-data-for-your-enterprise","1818"
"code-security/code-scanning/troubleshooting-code-scanning/build-is-taking-too-long","1792"
"code-security/code-scanning/troubleshooting-code-scanning/automatic-build-failed-for-a-compiled-language","1782"
"code-security/securing-your-organization/enabling-security-features-in-your-organization/applying-a-custom-security-configuration","1712"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/generic-secret-detection/about-the-detection-of-generic-secrets-with-secret-scanning","1704"
"code-security/secret-scanning/enabling-secret-scanning-features/enabling-validity-checks-for-your-repository","1693"
"code-security/security-advisories/guidance-on-reporting-and-writing/best-practices-for-writing-repository-security-advisories","1643"
"actions/security-guides/using-artifact-attestations-and-reusable-workflows-to-achieve-slsa-v1-build-level-3","1630"
"code-security/dependabot/troubleshooting-dependabot","1612"
"code-security/dependabot/troubleshooting-dependabot/listing-dependencies-configured-for-version-updates","1590"
"admin/code-security","1583"
"actions/security-guides/enforcing-artifact-attestations-with-a-kubernetes-admission-controller","1583"
"admin/managing-code-security/managing-github-advanced-security-for-your-enterprise/configuring-dependency-review-for-your-appliance","1578"
"admin/code-security/managing-github-advanced-security-for-your-enterprise/configuring-dependency-review-for-your-appliance","1574"
"admin/configuring-settings/hardening-security-for-your-enterprise/configuring-the-referrer-policy-for-your-enterprise","1573"
"code-security/codeql-cli/using-the-codeql-cli/testing-custom-queries","1521"
"code-security/security-advisories/repository-security-advisories/editing-a-repository-security-advisory","1480"
"code-security/security-advisories/repository-security-advisories/adding-a-collaborator-to-a-repository-security-advisory","1453"
"code-security/codeql-cli/using-the-codeql-cli/publishing-and-using-codeql-packs","1451"
"code-security/dependabot/maintain-dependencies/best-practices-for-maintaining-dependencies","1439"
"code-security/security-advisories/repository-security-advisories","1424"
"code-security/codeql-cli/using-the-codeql-cli/creating-and-working-with-codeql-packs","1411"
"admin/configuration/hardening-security-for-your-enterprise/configuring-the-referrer-policy-for-your-enterprise","1374"
"code-security/securing-your-organization/meeting-your-specific-security-needs-with-custom-security-configurations","1346"
"code-security/dependabot/maintain-dependencies","1345"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/custom-patterns/about-generating-regular-expressions-with-ai","1338"
"apps/publishing-apps-to-github-marketplace/creating-apps-for-github-marketplace/security-best-practices-for-apps","1321"
"admin/user-management/managing-users-in-your-enterprise/best-practices-for-user-security","1313"
"code-security/codeql-cli/codeql-cli-reference/exit-codes","1310"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/codeql-code-scanning-for-compiled-languages","1259"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/troubleshooting-your-default-setup-for-codeql","1221"
"code-security/securing-your-organization/managing-the-security-of-your-organization/finding-repositories-with-attachment-failures","1197"
"admin/managing-code-security/securing-your-enterprise/about-security-configurations","1183"
"admin/managing-code-security/managing-supply-chain-security-for-your-enterprise","1168"
"code-security/security-advisories/repository-security-advisories/permission-levels-for-repository-security-advisories","1151"
"code-security/trialing-github-advanced-security/enable-security-features-trial","1109"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/custom-patterns/managing-custom-patterns","1100"
"code-security/securing-your-organization/troubleshooting-security-configurations/a-repository-has-an-existing-advanced-setup-for-code-scanning","1075"
"code-security/code-scanning/troubleshooting-code-scanning/logs-are-not-detailed-enough","1066"
"code-security/trialing-github-advanced-security","1058"
"code-security/security-advisories/repository-security-advisories/withdrawing-a-repository-security-advisory","1029"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/custom-patterns/metrics-for-custom-patterns","951"
"code-security/code-scanning/troubleshooting-code-scanning/a-particular-language-is-causing-default-setup-to-fail","936"
"code-security/security-advisories/repository-security-advisories/removing-a-collaborator-from-a-repository-security-advisory","926"
"code-security/code-scanning/troubleshooting-code-scanning/codeql-scanned-fewer-lines-than-expected","925"
"code-security/security-advisories/repository-security-advisories/evaluating-the-security-settings-of-a-repository","901"
"code-security/codeql-cli/using-the-codeql-cli/specifying-command-options-in-a-codeql-configuration-file","900"
"code-security/code-scanning/managing-code-scanning-alerts/fixing-alerts-in-security-campaign","882"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/custom-patterns","865"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/delegated-bypass-for-push-protection","845"
"code-security/codeql-cli/using-the-advanced-functionality-of-the-codeql-cli/creating-database-bundle-for-troubleshooting","821"
"code-security/security-advisories/working-with-repository-security-advisories/withdrawing-a-repository-security-advisory","813"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/generic-secret-detection/enabling-ai-powered-generic-secret-detection","810"
"code-security/code-scanning/troubleshooting-code-scanning/alerts-found-in-generated-code","782"
"code-security/secret-scanning/copilot-secret-scanning/generating-regular-expressions-for-custom-patterns-with-copilot-secret-scanning","758"
"code-security/security-advisories/guidance-on-reporting-and-writing","755"
"code-security/code-scanning/troubleshooting-code-scanning/results-differ-between-platforms","745"
"admin/managing-code-security/securing-your-enterprise/applying-the-github-recommended-security-configuration-to-your-enterprise","744"
"code-security/dependabot/dependabot-alert-rules/customizing-alert-rules-to-prioritize-dependabot-alerts","713"
"code-security/getting-started/understanding-github-secret-types","681"
"code-security/codeql-cli/codeql-cli-reference","654"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/non-provider-patterns","614"
"admin/managing-code-security/securing-your-enterprise/creating-a-custom-security-configuration-for-your-enterprise","594"
"code-security/codeql-cli/codeql-cli-reference/about-codeql-workspaces","590"
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/configuring-advanced-setup-for-code-scanning-with-codeql-at-scale","584"
"code-security/dependabot/dependabot-alert-rules/using-github-curated-alert-rules-to-prioritize-dependabot-alerts","582"
"admin/managing-code-security/securing-your-enterprise","574"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/custom-patterns/generating-regular-expressions-for-custom-patterns-with-ai","569"
"code-security/code-scanning/troubleshooting-code-scanning/results-are-different-than-expected","565"
"code-security/code-scanning/troubleshooting-code-scanning/unclear-what-triggered-a-workflow-run","540"
"admin/code-security/managing-supply-chain-security-for-your-enterprise","536"
"code-security/codeql-cli/codeql-cli-reference/query-reference-files","531"
"copilot/example-prompts-for-github-copilot-chat/security-analysis","501"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/generic-secret-detection","483"
"code-security/security-overview/about-the-security-overview","481"
"code-security/codeql-cli/using-the-codeql-cli/testing-query-help-files","471"
"admin/managing-code-security/securing-your-enterprise/configuring-additional-secret-scanning-settings-for-your-enterprise","448"
"code-security/code-scanning/troubleshooting-sarif","433"
"admin/managing-code-security/securing-your-enterprise/deleting-a-custom-security-configuration","426"
"admin/managing-code-security/securing-your-enterprise/editing-a-custom-security-configuration","412"
"code-security/secret-scanning/copilot-secret-scanning/generating-regular-expressions-for-custom-patterns-with-ai","411"
"code-security/code-scanning/troubleshooting-code-scanning/some-languages-were-not-analyzed","397"
"actions/security-guides/verifying-attestations-offline","381"
"code-security/code-scanning/troubleshooting-code-scanning/default-setup-fails-with-a-language","375"
"admin/managing-code-security/securing-your-enterprise/applying-a-custom-security-configuration-to-your-enterprise","373"
"code-security/secret-scanning/using-advanced-secret-scanning-and-push-protection-features/generic-secret-detection/responsible-ai-generic-secrets","358"
"code-security/dependabot/dependabot-alert-rules/managing-automatically-dismissed-alerts","310"
"code-security/code-scanning/troubleshooting-sarif/default-setup-enabled","266"
"copilot/copilot-chat-cookbook/security-analysis","255"
"code-security/code-scanning/troubleshooting-sarif/ghas-required","245"
"code-security/code-scanning/troubleshooting-sarif/file-too-large","241"
