 ,Subject Area,Type of Doc,Topic,Funnel to Product Page,Length of Doc (characters),Content Difficulty Level,Inteded User Type,Views (March23'-March25'),Users (March23'-March25'),Rank Based on # of Views
About repository security advisories,Security ,Technical Guide,Repository Security Advisories,No,"6,606",Intermediate,Intermediate,,,
Permission levels for repository security advisories,Security ,Technical Guide,Repository Security Advisories,No,"2,362",Intermediate,Intermediate,,,
Configuring private vulnerability reporting for a repository,Security ,Technical Guide,Repository Security Advisories,No,"5,219",Intermediate,Intermediate,,,
Configuring private vulnerability reporting for an organization,Security ,Technical Guide,Repository Security Advisories,No,"3,992",Intermediate,Intermediate,,,
Creating a repository security advisory,Security ,Technical Guide,Repository Security Advisories,No,"6,324",Intermediate,Intermediate,,,
Editing a repository security advisory,Security ,Technical Guide,Repository Security Advisories,No,"5,940",Advanced,Advanced,,,
Evaluating the security settings of a repository,Security ,Technical Guide,Repository Security Advisories,No,"6,389",Advanced,Advanced,,,
Collaborating in a temporary private fork to resolve a repository security vulnerability,Security ,Technical Guide,Repository Security Advisories,No,"5,729",Advanced,Advanced,,,
Publishing a repository security advisory,Security ,Technical Guide,Repository Security Advisories,No,"2,336",Intermediate,Intermediate,,,
Adding a collaborator to a repository security advisory,Security ,Technical Guide,Repository Security Advisories,No,"7,156",Intermediate,Intermediate,,,
Removing a collaborator from a repository security advisory,Security ,Technical Guide,Repository Security Advisories,No,"2,887",Intermediate,Intermediate,,,
Deleting a repository security advisory,Security ,Technical Guide,Repository Security Advisories,No,"2,211",Intermediate,Intermediate,,,
About coordinated disclosure of security vulnerabilities,Security ,Technical Guide,,No,"7,786",Intermediate,Intermediate,,,
Best practices for writing repository security advisories,Security ,Technical Guide,,No,"2,362",Intermediate,Intermediate,,,
Privately reporting a security vulnerability,Security ,Technical Guide,,No,"5,219",Advanced,Advanced,,,
Managing privately reported security vulnerabilities,Security ,Technical Guide,,No,"3,992",Advanced,Advanced,,,
About supply chain security,Security ,Technical Guide,,No,"6,324",Advanced,Advanced,,,
About the Dependency graph,Security ,Technical Guide,,No,"5,940",Intermediate,Intermediate,"260,209",,
Dependency graph supported package ecosystems,Security ,Technical Guide,,No,"6,389",Intermediate,Intermediate,,,
Configuring the dependency graph,Security ,Technical Guide,,No,"5,729",Intermediate,Intermediate,,,
Configuring automatic dependency submission for your repository,Security ,Technical Guide,,No,"2,336",Intermediate,Intermediate,,,
Exporting a software bill of materials for your repository,Security ,Technical Guide,,No,"7,156",Intermediate,Intermediate,,,
Using the dependency submission API,Security ,Technical Guide,,No,"2,887",Intermediate,Intermediate,,,
About dependency review,Security ,Technical Guide,,No,"2,211",Advanced,Advanced,,,
Configuring the dependency review action,Security ,Technical Guide,,No,"7,786",Advanced,Advanced,,,
Dependabot options reference,Security ,Technical Guide,Work with Dependabot,No,"29,626",Advanced,Advanced,"848,897",,
Configuring Dependabot security updates,Security ,Technical Guide,Dependabot Security Updates,No,"8,507",Advanced,Advanced,"682,587",,
About Dependabot security updates,Security ,Technical Guide,Dependabot Security Updates,No,"10,280",Intermediate,Intermediate,,,
Configuring Dependabot version updates,Security ,Tutorial,Dependabot Version Updates,No,"10,931",Advanced,Advanced,"216,257",,
About Dependabot alerts,Security ,Overview,Dependabot Version Updates,No,"7,785",Intermediate,Intermediate,,,
Automating Dependabot with GitHub Actions,Security ,Technical Guide,Work with Dependabot,No,"6,351",Advanced,Advanced,"159,564",,
About Dependabot version updates,Security ,Overview,Dependabot Version Updates,No,"6,235",Intermediate,Intermediate,"129,581",,
